DOI,AboutLocation,AuthorLocation
10.2307/41488417,6252001,-1
10.2307/41488414,-1,5946768
10.2307/41488415,6252001,5102922
10.2307/41488412,6269131,5261457
10.2307/41488412,6269131,4887398
10.2307/41488413,2750405,2751773
10.2307/4331767,6269131,-1
10.2307/4331817,2077456,-1
10.2307/4331816,-1,-1
10.2307/4331763,6252001,-1
10.2307/4331810,6252001,-1
10.2307/4331760,6252001,5574991
10.1007/s10739-012-9326-8,-1,4265737
10.1007/s10739-012-9327-7,-1,-1
10.1007/s10739-012-9319-7,3017392,5720727
10.1007/s10739-012-9319-7,6269131,5720727
10.1007/s10739-012-9349-1,3017382,2797656
10.1007/s10739-012-9349-1,6269131,2797656
10.1007/s10739-012-9335-7,3017382,2950159
10.1007/s10739-013-9356-x,6252001,-1
10.1007/s10739-013-9357-9,6252001,-1
10.1007/s10739-013-9357-9,1861060,-1
10.1007/s10739-013-9358-8,6252001,-1
10.2307/4331268,-1,4747845
10.2307/4331266,2623032,4839366
10.2307/4331267,6252001,4560349
10.2307/4331264,-1,4747845
10.2307/4331265,6252001,4560349
10.2307/4331262,-1,4747845
10.2307/4331263,6252001,4839366
10.2307/4331260,6252001,-1
10.2307/4331261,-1,-1
10.2307/4331864,3175395,-1
10.2307/4331866,6252001,-1
10.2307/4331867,3017382,-1
10.2307/4331860,-1,-1
10.2307/4331861,6252001,-1
10.2307/4331862,3562981,-1
10.2307/4331862,4566966,-1
10.2307/4331863,6252001,-1
10.2307/40802750,6254928,-1
10.2307/40802751,6252001,-1
10.2307/4331868,6252001,-1
10.2307/4331869,3865483,-1
10.2307/4331198,2921044,-1
10.2307/4331190,-1,281184
10.2307/4331191,3077311,3169070
10.2307/4331192,6252001,5398563
10.2307/4331193,6252001,-1
10.2307/4331193,6269131,-1
10.2307/4331194,-1,-1
10.2307/4331195,2510769,-1
10.2307/4331196,3017382,-1
10.2307/4331197,6252001,-1
10.2307/4331197,1861060,-1
10.2307/4331469,6252001,-1
10.2307/4331460,6252001,-1
10.2307/4331463,6252001,5809844
10.2307/4331464,6252001,4846834
10.2307/4331465,6252001,5741646
10.2307/4331466,-1,5341704
10.2307/4331467,6269131,2820860
10.2307/40271521,5128638,-1
10.2307/40271523,6252001,-1
10.2307/40271522,6252001,-1
10.2307/40271525,-1,-1
10.2307/40271524,-1,-1
10.2307/40271526,2510769,-1
10.2307/25650624,6252001,2643743
10.2307/25650625,6269131,2267057
10.2307/25650626,6269131,3530597
10.2307/25650627,2750405,4407066
10.2307/25650627,2750405,3177090
10.2307/4331994,-1,-1
10.2307/4331995,6269131,-1
10.2307/4331995,3017382,-1
10.2307/4331995,2264397,-1
10.2307/4331995,2510769,-1
10.2307/4331995,2750405,-1
10.2307/4331996,6269131,-1
10.2307/4331997,6269131,-1
10.2307/4331998,6252001,-1
10.2307/4331999,3017382,-1
10.2307/25650628,6252001,4347778
10.2307/25650629,6252001,-1
10.2307/4331684,6269131,8516282
10.2307/4331685,6269131,2525068
10.2307/4331686,2921044,4254679
10.2307/4331687,6252001,-1
10.2307/4331682,-1,5317058
10.2307/4331683,6269131,2650188
10.2307/4331688,6269131,8469294
10.2307/4331689,6269131,2950159
10.2307/4331514,-1,-1
10.2307/4331515,6252001,-1
10.2307/4331044,390903,-1
10.2307/4331044,6252001,-1
10.2307/4331044,2921044,-1
10.2307/4331045,6269131,-1
10.2307/4331042,2510769,2509954
10.2307/4331043,-1,-1
10.2307/4331040,2921044,4929022
10.2307/4331041,3017382,2657896
10.2307/4331518,6252001,-1
10.2307/4331519,5101760,-1
10.2307/4331049,6252001,4543762
10.2307/4330931,6252001,5809844
10.2307/4330933,3175395,4560349
10.2307/4330932,2921044,4347778
10.2307/4330935,6269131,-1
10.2307/4330934,-1,5525577
10.2307/4330939,2638360,-1
10.2307/4330938,-1,-1
10.2307/4330489,6269131,4407066
10.2307/4330488,2921044,4254679
10.2307/4330483,-1,-1
10.2307/4330485,2017370,4931972
10.2307/4330484,2750405,5206379
10.2307/4330487,6269131,4931972
10.2307/4330486,2077456,4931972
10.2307/4330809,-1,-1
10.2307/4330808,6269131,-1
10.2307/4330805,6252001,5128581
10.2307/4330804,3017382,5720727
10.2307/4330807,3017382,-1
10.2307/4330806,2017370,-1
10.2307/4330801,6269131,2655603
10.2307/4330800,3658931,2655603
10.2307/4330803,3017382,4984247
10.2307/4330802,390903,5263045
10.2307/4331068,6252001,6167865
10.2307/4330596,2638360,5122432
10.2307/4330599,2017370,5180225
10.2307/4330598,-1,5206379
10.2307/29737457,-1,-1
10.2307/29737456,6252001,-1
10.2307/29737455,6252001,-1
10.2307/29737454,5843591,-1
10.2307/29737453,4155751,-1
10.2307/29737452,5368361,-1
10.2307/29737451,6252001,-1
10.2307/29737450,6269131,-1
10.2307/29737458,-1,-1
10.2307/41488401,6269131,2176632
10.2307/41488400,2921044,2792482
10.2307/41488403,2921044,2751773
10.1007/s10739-012-9344-6,2921044,5327684
10.1007/s10739-012-9344-6,2921044,5102922
10.2307/41488405,6269131,-1
10.2307/41488404,798544,3094802
10.2307/41488407,6252001,-1
10.2307/41488406,6252001,-1
10.2307/41488409,6269131,-1
10.2307/41488408,-1,-1
10.1007/s10739-012-9337-5,390903,5720727
10.1007/s10739-012-9337-5,390903,4254679
10.1007/s10739-012-9337-5,3169070,5720727
10.1007/s10739-012-9337-5,3169070,4254679
10.2307/4331218,6269131,5122432
10.2307/4331210,3017382,-1
10.2307/4331217,6269131,2650225
10.2307/4331216,-1,-1
10.2307/4331215,1861060,4560349
10.2307/4331214,-1,-1
10.2307/41653576,6252001,-1
10.2307/4331851,6269131,4887398
10.2307/4331850,2921044,4174715
10.2307/4331853,6269131,5206379
10.2307/4331852,3017382,3530597
10.2307/40802749,6252001,-1
10.2307/40802748,6252001,-1
10.2307/40802748,6269131,-1
10.2307/4331856,6252001,-1
10.2307/40802745,6269131,-1
10.2307/40802744,6269131,4487042
10.2307/40802747,4361885,-1
10.2307/40802746,6269131,-1
10.2307/40802741,1861060,5122432
10.2307/40802741,6252001,5122432
10.2307/40802741,1605651,5122432
10.2307/40802740,-1,5317058
10.2307/40802743,6269131,5327684
10.2307/40802742,6252001,3117735
10.2307/4331327,-1,4347778
10.2307/4331326,-1,2988507
10.2307/4331325,6252001,-1
10.2307/4331324,6252001,6077243
10.2307/4331324,3175395,6077243
10.2307/4331451,3469034,2988507
10.2307/4331450,6252001,-1
10.2307/4331453,6252001,4931972
10.2307/4331453,2017370,4931972
10.2307/4331452,-1,4930956
10.2307/4331458,6269131,-1
10.2307/4331329,2623032,-1
10.2307/4331328,-1,6077243
10.2307/4330961,6252001,-1
10.2307/4330743,6269131,5072006
10.2307/40271554,5391959,-1
10.2307/40271555,6252001,-1
10.2307/40271550,6252001,4180386
10.2307/40271551,2921044,2751773
10.2307/40271552,6269131,-1
10.2307/40271552,2017370,-1
10.2307/40271553,3170647,-1
10.2307/40271553,2988507,-1
10.2307/40271553,2643743,-1
10.2307/40271558,6269131,2644688
10.2307/40271559,6252001,5812944
10.2307/25650636,6252001,-1
10.2307/25650635,6252001,-1
10.2307/25650634,6252001,-1
10.2307/25650633,6252001,-1
10.2307/25650630,6252001,-1
10.2307/4331520,2921044,-1
10.2307/4331523,2921044,4407066
10.2307/4331523,6252001,4407066
10.2307/4331030,-1,-1
10.2307/4331525,6269131,2653117
10.2307/4331524,6252001,5392952
10.2307/4331527,-1,4780837
10.2307/4331034,-1,-1
10.2307/4331529,-1,4156404
10.2307/4331528,6269131,5128581
10.2307/4331039,6252001,4350635
10.2307/4331038,6269131,4558942
10.2307/4330496,2782113,3078610
10.2307/4330497,-1,5206379
10.2307/4330494,6252001,-1
10.2307/4330495,2750405,4560349
10.2307/4330493,2921044,4931972
10.2307/4330490,3017382,2988507
10.2307/4330491,3017382,-1
10.2307/4331147,6269131,4887398
10.2307/4331146,6252001,5393052
10.2307/4331145,6252001,6167865
10.2307/4331144,6269131,2650225
10.2307/4331143,6269131,2191562
10.2307/4331142,-1,5327684
10.2307/4331141,6269131,5102922
10.2307/4331141,3017382,5102922
10.2307/4330499,5102922,4407066
10.2307/4330499,5102922,4931972
10.2307/4330818,6269131,2655603
10.2307/4330819,235616,5216774
10.2307/4330810,6252001,-1
10.2307/4330811,3017382,-1
10.2307/4330816,6269131,4887398
10.2307/4330817,6269131,4931972
10.2307/4330814,-1,-1
10.2307/4330815,6269131,4520760
10.2307/4331700,-1,-1
10.2307/4330928,-1,-1
10.2307/4330926,6251999,-1
10.2307/4330927,-1,-1
10.2307/4330924,6269131,-1
10.2307/4330925,-1,-1
10.2307/4330922,6252001,5258393
10.2307/4330922,6251999,5258393
10.2307/4330923,-1,8469294
10.2307/4330920,6269131,5969782
10.2307/4330921,2661886,2153770
10.2307/4330921,2921044,2153770
10.2307/4331498,-1,-1
10.2307/4331397,6252001,-1
10.2307/4330588,1275004,4834157
10.2307/29737468,6252001,4174715
10.2307/29737469,6252001,-1
10.2307/29737463,-1,5363943
10.2307/4331496,6252001,4351977
10.2307/4331496,6252001,4142643
10.2307/4331496,2638360,4351977
10.2307/4331496,2638360,4142643
10.2307/29737466,2017370,4839366
10.2307/29737467,6252001,4574989
10.2307/29737467,6269131,4574989
10.2307/29737464,6269131,6167865
10.2307/29737465,6269131,2649808
10.2307/4330589,2017370,-1
10.2307/4330739,3017382,-1
10.2307/4331392,6252001,4931972
10.2307/4331393,6252001,-1
10.1007/s10739-012-9346-4,6252001,3170647
10.2307/4330675,6269131,4351977
10.2307/29737480,390903,4744709
10.2307/29737481,6269131,4954801
10.2307/29737482,2921044,4254679
10.2307/29737483,6269131,4142643
10.2307/29737484,6252001,4543762
10.2307/29737485,6252001,-1
10.2307/29737485,6269131,-1
10.2307/29737486,2661886,-1
10.2307/29737487,6252001,-1
10.2307/29737487,6269131,-1
10.2307/29737488,1861060,-1
10.2307/29737489,6252001,-1
10.2307/4331547,6252001,-1
10.2307/4331547,2759794,-1
10.2307/4331547,2782113,-1
10.2307/4331546,6252001,5037649
10.2307/4331208,6252001,-1
10.2307/4331209,-1,-1
10.2307/4331013,6252001,-1
10.2307/4331013,2921044,-1
10.2307/4331201,6269131,4156404
10.2307/4331201,6269131,5398563
10.2307/4331201,6252001,4156404
10.2307/4331201,6252001,5398563
10.2307/4331201,2921044,4156404
10.2307/4331201,2921044,5398563
10.2307/4331202,4887398,4747845
10.2307/4331202,2745912,4747845
10.2307/4331203,-1,5177568
10.2307/4331204,6269131,3448439
10.2307/4331205,6252001,-1
10.2307/4331206,6252001,-1
10.2307/4331207,6252001,-1
10.2307/4331396,6252001,-1
10.2307/4331425,-1,-1
10.2307/4331394,6252001,-1
10.2307/4331395,6269131,-1
10.2307/4331420,-1,-1
10.2307/4331421,6252001,4143861
10.1007/s10739-012-9334-8,2921044,3068160
10.2307/4331390,2017370,498817
10.1007/s10739-012-9325-9,-1,4407066
10.2307/4331391,5224323,517773
10.2307/4331391,5224323,5101717
10.2307/42628761,6252001,4407066
10.2307/4331785,6252001,-1
10.2307/41488402,6269131,1277333
10.2307/4331784,6252001,-1
10.2307/4331334,6252001,6101645
10.2307/4331335,-1,2766824
10.2307/4331336,6269131,4644585
10.2307/4331337,6269131,4254679
10.2307/4331446,-1,-1
10.2307/4331447,2802361,-1
10.2307/4331447,2921044,-1
10.2307/4331781,-1,281184
10.2307/4331448,3469034,3037854
10.2307/4331449,3017382,6077243
10.2307/4331338,6252001,4945609
10.2307/4331338,6269131,4945609
10.2307/4331339,6252001,-1
10.2307/4331780,6269131,2643743
10.2307/4331782,2921044,2759794
10.2307/40271547,6252001,5317058
10.2307/40271546,6252001,5317058
10.2307/40271546,2921044,5317058
10.2307/40271545,6252001,5317058
10.2307/40271542,3017382,-1
10.2307/40271542,6252001,-1
10.2307/40271542,6269131,-1
10.2307/40271541,6269131,-1
10.2307/40271549,6252001,4347778
10.2307/40271548,6252001,4747845
10.2307/4330795,2017370,-1
10.2307/4330794,2921044,-1
10.2307/4330796,298795,-1
10.2307/4330791,-1,-1
10.2307/4330790,6252001,4407066
10.2307/4330793,3017382,-1
10.2307/4330792,-1,-1
10.2307/4330799,6269131,-1
10.2307/4330557,2921044,-1
10.2307/4330556,6269131,4140963
10.2307/4330555,2017370,-1
10.2307/4330554,6269131,2650225
10.2307/4330553,6252001,5139865
10.2307/4330552,-1,2644688
10.2307/4330551,6252001,-1
10.2307/4330550,6252001,5261457
10.2307/4331536,6252001,-1
10.2307/4331536,6269131,-1
10.2307/4331537,6269131,-1
10.2307/4331535,2921044,-1
10.2307/4331532,-1,-1
10.2307/4331533,-1,-1
10.2307/4331530,6252001,-1
10.2307/4331531,6252001,-1
10.2307/4331531,6269131,-1
10.2307/4331531,3175395,-1
10.2307/4331020,6252001,5037649
10.2307/4331020,2017370,5037649
10.2307/4331021,6252001,4930956
10.2307/4331022,-1,4931972
10.2307/4331023,6252001,5261457
10.2307/4331023,2017370,5261457
10.2307/4331024,-1,5490263
10.2307/4331025,6254925,4305210
10.2307/4331026,6252001,-1
10.2307/4331027,-1,-1
10.2307/4331028,3175395,-1
10.2307/4331029,453733,-1
10.2307/4331843,2921044,-1
10.2307/4331840,6252001,-1
10.2307/4331841,-1,-1
10.2307/4331830,1814991,1816670
10.2307/4331158,-1,5398563
10.2307/4331159,6252001,5381396
10.2307/4331156,2650225,2643743
10.2307/4331157,-1,2759794
10.2307/4331150,6269131,-1
10.2307/4331150,2921044,-1
10.2307/4331150,6252001,-1
10.2307/4331151,2661886,-1
10.2307/4331153,-1,-1
10.2307/4330959,2921044,2820860
10.2307/4330958,390903,4140963
10.2307/4330779,6252001,4407066
10.2307/4330778,6252001,5490263
10.2307/4330953,3175395,-1
10.2307/4330776,6252001,5183234
10.2307/4330775,6252001,-1
10.2307/4330774,2921044,4487042
10.2307/4330774,390903,4487042
10.2307/4330774,3169070,4487042
10.2307/4330957,6269131,4747845
10.2307/4330770,390903,-1
10.2307/4331978,6252001,-1
10.2307/4331389,2750405,2745912
10.2307/29737475,-1,-1
10.2307/29737474,6251999,-1
10.2307/29737477,2921044,-1
10.2307/29737476,6252001,-1
10.2307/29737471,390903,-1
10.2307/29737471,3169070,-1
10.2307/29737470,2921044,-1
10.2307/29737473,-1,-1
10.2307/4331052,-1,5037649
10.2307/4331388,6252001,293397
10.2307/4331976,-1,-1
10.2307/4331056,6269131,2653941
10.2307/41488460,2921044,-1
10.2307/29737497,2921044,2759794
10.2307/29737497,2750405,2759794
10.2307/29737497,3144096,2759794
10.2307/29737496,6252001,4990729
10.2307/29737499,6252001,5087168
10.2307/29737498,6252001,4543762
10.2307/4331235,2017370,524901
10.2307/4331234,6252001,4887398
10.2307/4331237,-1,-1
10.2307/4331236,3017382,-1
10.2307/4331236,2921044,-1
10.2307/4331236,6269131,-1
10.2307/4331231,2017370,524901
10.2307/4331230,6269131,5318313
10.2307/4331230,2921044,5318313
10.2307/4331230,6252001,5318313
10.2307/4331230,2017370,5318313
10.2307/4331233,6252001,4931972
10.2307/4331232,2017370,524901
10.2307/4331238,-1,-1
10.2307/4331855,6252001,5197079
10.2307/4331854,1814991,1668341
10.2307/4331301,6252001,-1
10.2307/4331300,6269131,-1
10.2307/4331304,-1,-1
10.2307/4331309,-1,2655984
10.2307/4331947,6269131,2657896
10.2307/4331946,3175395,4887398
10.2307/4331945,3996063,3530597
10.2307/4331945,3996063,3117735
10.2307/4331945,3996063,5359777
10.2307/4331944,3078610,2643123
10.2307/4331944,3078610,3078610
10.2307/4331943,6252001,5165445
10.2307/4331942,1269750,-1
10.2307/4331493,6254926,5110269
10.2307/4331492,3017382,2988507
10.2307/4331495,4361885,4347778
10.2307/4331494,3175395,-1
10.2307/4331949,6252001,-1
10.2307/4331948,2921044,-1
10.2307/4330780,-1,4254679
10.2307/4330786,2921044,4929022
10.2307/4330787,6269131,4845419
10.2307/4330784,6269131,4887398
10.2307/4330785,6269131,6077243
10.2307/4330788,-1,281184
10.2307/4330789,-1,5192726
10.2307/4330544,2921044,4671654
10.2307/4330545,6269131,-1
10.2307/4330546,-1,-1
10.2307/4331548,3017382,4487042
10.2307/4331548,6252001,4487042
10.2307/4330540,-1,4931972
10.2307/4330541,-1,2153770
10.2307/4330542,6269131,5102922
10.2307/4330543,3017382,-1
10.2307/4331015,6269131,-1
10.2307/4331014,-1,-1
10.2307/4331540,6252001,-1
10.2307/4331011,-1,2988507
10.2307/4331010,2921044,2949186
10.2307/4331545,6252001,5037649
10.2307/4331544,6252001,4156404
10.2307/4331839,-1,-1
10.2307/4331789,6269131,-1
10.2307/4331788,1861060,-1
10.2307/4331788,4566966,-1
10.2307/4331833,3169070,-1
10.2307/4331833,6252001,-1
10.2307/4331832,6252001,4931972
10.2307/4331831,6269131,5102922
10.2307/4331831,3017382,5102922
10.2307/4331786,2921044,-1
10.2307/4331837,6252001,-1
10.2307/4331836,2643743,-1
10.2307/4331783,-1,-1
10.2307/4331834,6269131,-1
10.2307/4331161,-1,2113015
10.2307/4331160,6269131,4887398
10.2307/4331163,6251999,-1
10.2307/4331162,6269131,4347778
10.2307/4331165,-1,-1
10.2307/4331164,2921044,-1
10.2307/4331164,3469034,-1
10.2307/4331164,3017382,-1
10.2307/4331164,2017370,-1
10.2307/4331167,6269131,-1
10.2307/4331166,6252001,-1
10.2307/4331455,6252001,-1
10.2307/4331455,6251999,-1
10.2307/4331454,-1,-1
10.2307/4331457,6252001,-1
10.2307/4331457,6251999,-1
10.2307/4331456,3017382,-1
10.2307/4330760,-1,-1
10.2307/4330945,-1,4931972
10.2307/4330948,6269131,-1
10.2307/4330768,390903,5206379
10.2307/4330769,2921044,-1
10.2307/4330765,6269131,5072006
10.2307/4330766,6269131,4954380
10.2307/4330767,3017382,4140963
10.2307/4330944,2921044,-1
10.2307/4331619,6252001,-1
10.2307/4330946,6269131,5128581
10.2307/4330947,6269131,5317058
10.2307/4330947,3017382,5317058
10.2307/4330947,2802361,5317058
10.2307/4330947,3175395,5317058
